==============================================================================
UNTUNED DETECTORS  [B_-1,B_-3]=0  and  [B_-2,B_-3]=0   at ell=2
  e in [2, 3], |lam|<=4, R=len(lam)+4, charges [0, 1]
  12 partitions x 2 charges x 2 e-values = 48 configurations per detector per implementation
==============================================================================
--- [B_-1,B_-3]  CLIO  route3_uglov  (48 configs) ---
  e=2 s=0 lam=()             R=4  zero   [running 1/1 zero,    0.9s]
  e=3 s=0 lam=()             R=4  zero   [running 2/2 zero,    2.1s]
  e=2 s=1 lam=()             R=4  zero   [running 3/3 zero,    3.3s]
  e=3 s=1 lam=()             R=4  zero   [running 4/4 zero,    5.1s]
  e=2 s=0 lam=(1,)           R=5  zero   [running 5/5 zero,    6.8s]
  e=3 s=0 lam=(1,)           R=5  zero   [running 6/6 zero,   13.3s]
  e=2 s=1 lam=(1,)           R=5  zero   [running 7/7 zero,   14.7s]
  e=3 s=1 lam=(1,)           R=5  zero   [running 8/8 zero,   19.4s]
  e=2 s=0 lam=(2,)           R=5  zero   [running 9/9 zero,   21.3s]
  e=3 s=0 lam=(2,)           R=5  zero   [running 10/10 zero,   24.8s]
  e=2 s=1 lam=(2,)           R=5  zero   [running 11/11 zero,   26.1s]
  e=3 s=1 lam=(2,)           R=5  zero   [running 12/12 zero,   28.6s]
  e=2 s=0 lam=(1, 1)         R=6  zero   [running 13/13 zero,   31.5s]
  e=3 s=0 lam=(1, 1)         R=6  zero   [running 14/14 zero,   37.7s]
  e=2 s=1 lam=(1, 1)         R=6  zero   [running 15/15 zero,   40.1s]
  e=3 s=1 lam=(1, 1)         R=6  zero   [running 16/16 zero,   46.5s]
  e=2 s=0 lam=(3,)           R=5  zero   [running 17/17 zero,   48.2s]
  e=3 s=0 lam=(3,)           R=5  zero   [running 18/18 zero,   52.4s]
  e=2 s=1 lam=(3,)           R=5  zero   [running 19/19 zero,   53.4s]
  e=3 s=1 lam=(3,)           R=5  zero   [running 20/20 zero,   55.6s]
  e=2 s=0 lam=(2, 1)         R=6  zero   [running 21/21 zero,   57.3s]
  e=3 s=0 lam=(2, 1)         R=6  zero   [running 22/22 zero,   66.0s]
  e=2 s=1 lam=(2, 1)         R=6  zero   [running 23/23 zero,   68.3s]
  e=3 s=1 lam=(2, 1)         R=6  zero   [running 24/24 zero,   78.5s]
  e=2 s=0 lam=(1, 1, 1)      R=7  zero   [running 25/25 zero,   83.0s]
  e=3 s=0 lam=(1, 1, 1)      R=7  zero   [running 26/26 zero,   99.3s]
  e=2 s=1 lam=(1, 1, 1)      R=7  zero   [running 27/27 zero,  102.2s]
  e=3 s=1 lam=(1, 1, 1)      R=7  zero   [running 28/28 zero,  114.6s]
  e=2 s=0 lam=(4,)           R=5  zero   [running 29/29 zero,  116.3s]
  e=3 s=0 lam=(4,)           R=5  zero   [running 30/30 zero,  121.0s]
  e=2 s=1 lam=(4,)           R=5  zero   [running 31/31 zero,  122.4s]
  e=3 s=1 lam=(4,)           R=5  zero   [running 32/32 zero,  124.3s]
  e=2 s=0 lam=(3, 1)         R=6  zero   [running 33/33 zero,  126.4s]
  e=3 s=0 lam=(3, 1)         R=6  zero   [running 34/34 zero,  131.7s]
  e=2 s=1 lam=(3, 1)         R=6  zero   [running 35/35 zero,  134.4s]
  e=3 s=1 lam=(3, 1)         R=6  zero   [running 36/36 zero,  143.4s]
  e=2 s=0 lam=(2, 2)         R=6  zero   [running 37/37 zero,  145.0s]
  e=3 s=0 lam=(2, 2)         R=6  zero   [running 38/38 zero,  147.6s]
  e=2 s=1 lam=(2, 2)         R=6  zero   [running 39/39 zero,  151.1s]
  e=3 s=1 lam=(2, 2)         R=6  zero   [running 40/40 zero,  157.0s]
  e=2 s=0 lam=(2, 1, 1)      R=7  zero   [running 41/41 zero,  160.7s]
  e=3 s=0 lam=(2, 1, 1)      R=7  zero   [running 42/42 zero,  171.5s]
  e=2 s=1 lam=(2, 1, 1)      R=7  zero   [running 43/43 zero,  175.1s]
  e=3 s=1 lam=(2, 1, 1)      R=7  zero   [running 44/44 zero,  181.8s]
  e=2 s=0 lam=(1, 1, 1, 1)   R=8  zero   [running 45/45 zero,  188.0s]
  e=3 s=0 lam=(1, 1, 1, 1)   R=8  zero   [running 46/46 zero,  211.2s]
  e=2 s=1 lam=(1, 1, 1, 1)   R=8  zero   [running 47/47 zero,  216.9s]
  e=3 s=1 lam=(1, 1, 1, 1)   R=8  zero   [running 48/48 zero,  239.6s]
==> [B_-1,B_-3]  CLIO  route3_uglov:  ZERO 48/48   (complete)
--- [B_-1,B_-3]  LYRA  level2-route1  (48 configs) ---
  e=2 s=0 lam=()             R=4  zero   [running 1/1 zero,    0.9s]
  e=3 s=0 lam=()             R=4  zero   [running 2/2 zero,    2.1s]
  e=2 s=1 lam=()             R=4  zero   [running 3/3 zero,    3.4s]
  e=3 s=1 lam=()             R=4  zero   [running 4/4 zero,    5.2s]
  e=2 s=0 lam=(1,)           R=5  zero   [running 5/5 zero,    7.0s]
  e=3 s=0 lam=(1,)           R=5  zero   [running 6/6 zero,   13.6s]
  e=2 s=1 lam=(1,)           R=5  zero   [running 7/7 zero,   15.1s]
  e=3 s=1 lam=(1,)           R=5  zero   [running 8/8 zero,   20.0s]
  e=2 s=0 lam=(2,)           R=5  zero   [running 9/9 zero,   21.9s]
  e=3 s=0 lam=(2,)           R=5  zero   [running 10/10 zero,   25.5s]
  e=2 s=1 lam=(2,)           R=5  zero   [running 11/11 zero,   26.9s]
  e=3 s=1 lam=(2,)           R=5  zero   [running 12/12 zero,   29.4s]
  e=2 s=0 lam=(1, 1)         R=6  zero   [running 13/13 zero,   32.4s]
  e=3 s=0 lam=(1, 1)         R=6  zero   [running 14/14 zero,   38.7s]
  e=2 s=1 lam=(1, 1)         R=6  zero   [running 15/15 zero,   41.3s]
  e=3 s=1 lam=(1, 1)         R=6  zero   [running 16/16 zero,   47.8s]
  e=2 s=0 lam=(3,)           R=5  zero   [running 17/17 zero,   49.6s]
  e=3 s=0 lam=(3,)           R=5  zero   [running 18/18 zero,   53.9s]
  e=2 s=1 lam=(3,)           R=5  zero   [running 19/19 zero,   55.0s]
